image,deltaZ,labels,energies
0,1,0.0.Ir0.Au12,-116.01317
0,1,0.1.Ir0.Au13,-116.03477
0,1,0.2.Ir0.Au14,-116.03094
0,1,0.3.Ir0.Au15,-116.03314
0,1,0.4.Ir0.Au8,-115.76582
0,1,0.5.Ir0.Au9,-115.69794
0,1,0.6.Ir0.Au10,-115.76566
0,1,0.7.Ir0.Au11,-115.76564
0,1,1.0.Ir1.Au12,-116.01847
0,1,1.1.Ir1.Au13,-116.02924
0,1,1.2.Ir1.Au14,-116.03068
0,1,1.3.Ir1.Au15,-116.03304
0,1,1.4.Ir1.Au8,-115.69665
0,1,1.5.Ir1.Au9,-115.76613
0,1,1.6.Ir1.Au10,-115.76613
0,1,1.7.Ir1.Au11,-115.76517
0,-1,0.0.Au0.Ir12,-116.03053
0,-1,0.1.Au0.Ir13,-116.01662
0,-1,0.2.Au0.Ir14,-116.0155
0,-1,0.3.Au0.Ir15,-116.01811
0,-1,0.4.Au0.Ir8,-116.48404
0,-1,0.5.Au0.Ir9,-116.41338
0,-1,0.6.Au0.Ir10,-116.48315
0,-1,0.7.Au0.Ir11,-116.48507
0,-1,1.0.Au1.Ir12,-116.03517
0,-1,1.1.Au1.Ir13,-116.01104
0,-1,1.2.Au1.Ir14,-116.01539
0,-1,1.3.Au1.Ir15,-116.01817
0,-1,1.4.Au1.Ir8,-116.41376
0,-1,1.5.Au1.Ir9,-116.484
0,-1,1.6.Au1.Ir10,-116.48341
0,-1,1.7.Au1.Ir11,-116.48446
1,1,0.0.Ir0.Au12,-115.98793
1,1,0.1.Ir0.Au13,-116.01356
1,1,0.2.Ir0.Au14,-116.01074
1,1,0.3.Ir0.Au15,-116.01365
1,1,0.4.Ir0.Au8,-115.74764
1,1,0.5.Ir0.Au9,-115.6806
1,1,0.6.Ir0.Au10,-115.7466
1,1,0.7.Ir0.Au11,-115.74677
1,1,1.0.Ir1.Au12,-115.99352
1,1,1.1.Ir1.Au13,-116.00861
1,1,1.2.Ir1.Au14,-116.01081
1,1,1.3.Ir1.Au15,-116.01388
1,1,1.4.Ir1.Au8,-115.67918
1,1,1.5.Ir1.Au9,-115.74856
1,1,1.6.Ir1.Au10,-115.74754
1,1,1.7.Ir1.Au11,-115.74642
1,-1,0.0.Au0.Ir12,-116.02265
1,-1,0.1.Au0.Ir13,-116.00224
1,-1,0.2.Au0.Ir14,-115.99879
1,-1,0.3.Au0.Ir15,-116.00336
1,-1,0.4.Au0.Ir8,-116.46966
1,-1,0.5.Au0.Ir9,-116.39868
1,-1,0.6.Au0.Ir10,-116.46997
1,-1,0.7.Au0.Ir11,-116.47188
1,-1,1.0.Au1.Ir12,-116.02672
1,-1,1.1.Au1.Ir13,-115.99614
1,-1,1.2.Au1.Ir14,-115.99846
1,-1,1.3.Au1.Ir15,-116.0031
1,-1,1.4.Au1.Ir8,-116.39858
1,-1,1.5.Au1.Ir9,-116.46863
1,-1,1.6.Au1.Ir10,-116.47056
1,-1,1.7.Au1.Ir11,-116.47177
2,1,0.0.Ir0.Au12,-115.92382
2,1,0.1.Ir0.Au13,-115.97315
2,1,0.2.Ir0.Au14,-115.96715
2,1,0.3.Ir0.Au15,-115.9733
2,1,0.4.Ir0.Au8,-115.70397
2,1,0.5.Ir0.Au9,-115.63764
2,1,0.6.Ir0.Au10,-115.70109
2,1,0.7.Ir0.Au11,-115.70198
2,1,1.0.Ir1.Au12,-115.92964
2,1,1.1.Ir1.Au13,-115.96928
2,1,1.2.Ir1.Au14,-115.96779
2,1,1.3.Ir1.Au15,-115.97407
2,1,1.4.Ir1.Au8,-115.63511
2,1,1.5.Ir1.Au9,-115.70614
2,1,1.6.Ir1.Au10,-115.70272
2,1,1.7.Ir1.Au11,-115.70197
2,-1,0.0.Au0.Ir12,-115.99864
2,-1,0.1.Au0.Ir13,-115.95029
2,-1,0.2.Au0.Ir14,-115.9483
2,-1,0.3.Au0.Ir15,-115.95312
2,-1,0.4.Au0.Ir8,-116.42723
2,-1,0.5.Au0.Ir9,-116.35541
2,-1,0.6.Au0.Ir10,-116.43065
2,-1,0.7.Au0.Ir11,-116.43155
2,-1,1.0.Au1.Ir12,-116.00088
2,-1,1.1.Au1.Ir13,-115.94422
2,-1,1.2.Au1.Ir14,-115.94756
2,-1,1.3.Au1.Ir15,-115.95239
2,-1,1.4.Au1.Ir8,-116.35499
2,-1,1.5.Au1.Ir9,-116.42496
2,-1,1.6.Au1.Ir10,-116.43061
2,-1,1.7.Au1.Ir11,-116.43112
3,1,0.0.Ir0.Au12,-115.76346
3,1,0.1.Ir0.Au13,-115.87446
3,1,0.2.Ir0.Au14,-115.86345
3,1,0.3.Ir0.Au15,-115.87184
3,1,0.4.Ir0.Au8,-115.59932
3,1,0.5.Ir0.Au9,-115.53162
3,1,0.6.Ir0.Au10,-115.58838
3,1,0.7.Ir0.Au11,-115.59323
3,1,1.0.Ir1.Au12,-115.76969
3,1,1.1.Ir1.Au13,-115.87307
3,1,1.2.Ir1.Au14,-115.86533
3,1,1.3.Ir1.Au15,-115.87381
3,1,1.4.Ir1.Au8,-115.52949
3,1,1.5.Ir1.Au9,-115.60188
3,1,1.6.Ir1.Au10,-115.59089
3,1,1.7.Ir1.Au11,-115.59438
3,-1,0.0.Au0.Ir12,-115.93888
3,-1,0.1.Au0.Ir13,-115.82783
3,-1,0.2.Au0.Ir14,-115.82685
3,-1,0.3.Au0.Ir15,-115.83375
3,-1,0.4.Au0.Ir8,-116.3196
3,-1,0.5.Au0.Ir9,-116.25012
3,-1,0.6.Au0.Ir10,-116.33236
3,-1,0.7.Au0.Ir11,-116.32897
3,-1,1.0.Au1.Ir12,-115.9368
3,-1,1.1.Au1.Ir13,-115.82187
3,-1,1.2.Au1.Ir14,-115.82545
3,-1,1.3.Au1.Ir15,-115.83206
3,-1,1.4.Au1.Ir8,-116.24535
3,-1,1.5.Au1.Ir9,-116.31903
3,-1,1.6.Au1.Ir10,-116.33192
3,-1,1.7.Au1.Ir11,-116.32817
4,1,0.0.Ir0.Au12,-115.35727
4,1,0.1.Ir0.Au13,-115.62818
4,1,0.2.Ir0.Au14,-115.61977
4,1,0.3.Ir0.Au15,-115.61781
4,1,0.4.Ir0.Au8,-115.35296
4,1,0.5.Ir0.Au9,-115.27929
4,1,0.6.Ir0.Au10,-115.31707
4,1,0.7.Ir0.Au11,-115.3366
4,1,1.0.Ir1.Au12,-115.36006
4,1,1.1.Ir1.Au13,-115.62762
4,1,1.2.Ir1.Au14,-115.62096
4,1,1.3.Ir1.Au15,-115.61949
4,1,1.4.Ir1.Au8,-115.28273
4,1,1.5.Ir1.Au9,-115.34948
4,1,1.6.Ir1.Au10,-115.31634
4,1,1.7.Ir1.Au11,-115.33656
4,-1,0.0.Au0.Ir12,-115.80035
4,-1,0.1.Au0.Ir13,-115.55461
4,-1,0.2.Au0.Ir14,-115.53736
4,-1,0.3.Au0.Ir15,-115.56542
4,-1,0.4.Au0.Ir8,-116.04925
4,-1,0.5.Au0.Ir9,-115.99707
4,-1,0.6.Au0.Ir10,-116.08577
4,-1,0.7.Au0.Ir11,-116.07182
4,-1,1.0.Au1.Ir12,-115.79281
4,-1,1.1.Au1.Ir13,-115.55242
4,-1,1.2.Au1.Ir14,-115.53852
4,-1,1.3.Au1.Ir15,-115.56535
4,-1,1.4.Au1.Ir8,-115.97771
4,-1,1.5.Au1.Ir9,-116.06823
4,-1,1.6.Au1.Ir10,-116.08682
4,-1,1.7.Au1.Ir11,-116.07365
5,1,0.0.Ir0.Au12,-114.30038
5,1,0.1.Ir0.Au13,-115.1214
5,1,0.2.Ir0.Au14,-115.07736
5,1,0.3.Ir0.Au15,-115.13566
5,1,0.4.Ir0.Au8,-114.87181
5,1,0.5.Ir0.Au9,-114.80385
5,1,0.6.Ir0.Au10,-114.80326
5,1,0.7.Ir0.Au11,-114.83534
5,1,1.0.Ir1.Au12,-114.29063
5,1,1.1.Ir1.Au13,-115.1101
5,1,1.2.Ir1.Au14,-115.07222
5,1,1.3.Ir1.Au15,-115.13158
5,1,1.4.Ir1.Au8,-114.80891
5,1,1.5.Ir1.Au9,-114.86264
5,1,1.6.Ir1.Au10,-114.78679
5,1,1.7.Ir1.Au11,-114.82199
5,-1,0.0.Au0.Ir12,-115.55361
5,-1,0.1.Au0.Ir13,-115.13791
