labels,energies
0.0.Ir2.Au12,-102.03731
0.1.Ir2.Au13,-102.0024
0.2.Ir2.Au14,-102.10931
0.3.Ir2.Au15,-102.05431
0.4.Ir2.Au8,-101.67679
0.5.Ir2.Au9,-101.67679
0.6.Ir2.Au10,-101.47564
0.7.Ir2.Au11,-101.66106
1.0.Ir3.Au12,-102.01158
1.1.Ir3.Au13,-102.01788
1.2.Ir3.Au14,-102.01383
1.3.Ir3.Au15,-101.95501
1.4.Ir3.Au8,-101.58452
1.5.Ir3.Au9,-101.58452
1.6.Ir3.Au10,-101.3551
1.7.Ir3.Au11,-101.63704
0.0.Au2.Ir12,-102.26384
0.1.Au2.Ir13,-102.26385
0.2.Au2.Ir14,-101.88514
0.3.Au2.Ir15,-101.84876
0.4.Au2.Ir8,-102.27098
0.5.Au2.Ir9,-102.27106
0.6.Au2.Ir10,-102.40155
0.7.Au2.Ir11,-102.12951
1.0.Au3.Ir12,-102.32651
1.1.Au3.Ir13,-102.32513
1.2.Au3.Ir14,-101.95422
1.3.Au3.Ir15,-101.91713
1.4.Au3.Ir8,-102.33588
1.5.Au3.Ir9,-102.33583
1.6.Au3.Ir10,-102.44386
1.7.Au3.Ir11,-102.28701
