,labels,DFT Binding Energy,Alchemy Binding Energy,Absolute Errors,Transmutation Site Index,ESP Difference at Transmute Site
0,0.0.Ir2.Au12,0.011259999999978731,-0.48909999999999343,0.5003599999999722,12,-0.11839999999999407
1,0.1.Ir2.Au13,-0.023651000000000977,-0.48909999999999343,0.46544899999999245,13,-0.11839999999999407
2,0.2.Ir2.Au14,0.08688699999999017,0.008900000000011232,0.07798699999997893,14,0.3796000000000106
3,0.3.Ir2.Au15,0.02825999999998885,0.016200000000011983,0.012059999999976867,15,0.38690000000001135
4,0.4.Ir2.Au8,0.02412400000000048,0.017700000000004934,0.006423999999995544,8,0.3884000000000043
5,0.5.Ir2.Au9,0.02412400000000048,0.017700000000004934,0.006423999999995544,9,0.3884000000000043
6,0.6.Ir2.Au10,-0.1770259999999979,-0.1688999999999936,0.008126000000004296,10,0.20180000000000575
7,0.7.Ir2.Au11,0.08217599999998981,0.07000000000000739,0.012175999999982423,11,0.44070000000000675
8,1.0.Ir3.Au12,-0.014470999999986134,-0.5780999999999921,0.5636290000000059,12,-0.11839999999999407
9,1.1.Ir3.Au13,-0.008170000000006894,-0.5780999999999921,0.5699299999999852,13,-0.11839999999999407
10,1.2.Ir3.Au14,-0.012220000000013442,-0.0800999999999874,0.06787999999997396,14,0.3796000000000106
11,1.3.Ir3.Au15,-0.06745200000000295,-0.07279999999998665,0.005347999999983699,15,0.38690000000001135
12,1.4.Ir3.Au8,-0.06814599999999871,-0.0712999999999937,0.003153999999994994,8,0.3884000000000043
13,1.5.Ir3.Au9,-0.06814599999999871,-0.0712999999999937,0.003153999999994994,9,0.3884000000000043
14,1.6.Ir3.Au10,-0.22379100000000562,-0.25789999999999225,0.03410899999998662,10,0.20180000000000575
15,1.7.Ir3.Au11,-0.015625999999997475,-0.018999999999991246,0.003373999999993771,11,0.44070000000000675
16,0.0.Au2.Ir12,0.3694849999999974,0.48909999999999343,0.11961499999999603,12,-0.11839999999999407
17,0.1.Au2.Ir13,0.3694950000000006,0.48909999999999343,0.11960499999999286,13,-0.11839999999999407
18,0.2.Au2.Ir14,-0.0072079999999914435,-0.008900000000011232,0.0016920000000197888,14,0.3796000000000106
19,0.3.Au2.Ir15,-0.045595000000005825,-0.016200000000011983,0.029394999999993843,15,0.38690000000001135
20,0.4.Au2.Ir8,-0.0002589999999855763,-0.017700000000004934,0.017441000000019358,8,0.3884000000000043
21,0.5.Au2.Ir9,-0.00017800000000534055,-0.017700000000004934,0.017521999999999593,9,0.3884000000000043
22,0.6.Au2.Ir10,0.13031200000000354,0.1688999999999936,0.038587999999990075,10,0.20180000000000575
23,0.7.Au2.Ir11,-0.05890000000000839,-0.07000000000000739,0.011099999999999,11,0.44070000000000675
24,1.0.Au3.Ir12,0.43215399999999704,0.5780999999999921,0.14594599999999502,12,-0.11839999999999407
25,1.1.Au3.Ir13,0.430774999999997,0.5780999999999921,0.14732499999999504,13,-0.11839999999999407
26,1.2.Au3.Ir14,0.059864999999987845,0.0800999999999874,0.02023499999999956,14,0.3796000000000106
27,1.3.Au3.Ir15,0.024782999999999333,0.07279999999998665,0.04801699999998732,15,0.38690000000001135
28,1.4.Au3.Ir8,0.0646420000000063,0.0712999999999937,0.006657999999987396,8,0.3884000000000043
29,1.5.Au3.Ir9,0.06459100000000717,0.0712999999999937,0.006708999999986531,9,0.3884000000000043
30,1.6.Au3.Ir10,0.25545099999999366,0.25789999999999225,0.002448999999998591,10,0.20180000000000575
31,1.7.Au3.Ir11,0.015771999999998343,0.018999999999991246,0.003227999999992903,11,0.44070000000000675
