labels,energies
0.0.Ir2.Au12,-92.185756
0.1.Ir2.Au13,-92.185757
0.2.Ir2.Au14,-92.182129
0.3.Ir2.Au15,-92.185756
0.4.Ir2.Au8,-91.812372
0.5.Ir2.Au9,-91.812372
0.6.Ir2.Au10,-91.812372
0.7.Ir2.Au11,-91.73859
1.0.Ir3.Au12,-92.185757
1.1.Ir3.Au13,-92.185756
1.2.Ir3.Au14,-92.185756
1.3.Ir3.Au15,-92.182168
1.4.Ir3.Au8,-91.812372
1.5.Ir3.Au9,-91.812372
1.6.Ir3.Au10,-91.738597
1.7.Ir3.Au11,-91.812372
0.0.Au2.Ir12,-92.054061
0.1.Au2.Ir13,-92.054061
0.2.Au2.Ir14,-92.052054
0.3.Au2.Ir15,-92.054061
0.4.Au2.Ir8,-92.430945
0.5.Au2.Ir9,-92.430944
0.6.Au2.Ir10,-92.430944
0.7.Au2.Ir11,-92.348116
1.0.Au3.Ir12,-92.054062
1.1.Au3.Ir13,-92.054061
1.2.Au3.Ir14,-92.054061
1.3.Au3.Ir15,-92.052053
1.4.Au3.Ir8,-92.430944
1.5.Au3.Ir9,-92.430945
1.6.Au3.Ir10,-92.348115
1.7.Au3.Ir11,-92.430944
